,titleId,title,titleType,originalTitle,startYear,runtimeMinutes,genres,moyenneVote,NombreVotes
77245,tt0407708,Enter the Phoenix,movie,Dai lo oi mei lai,2004.0,104.0,"Action,Comedy",,
77258,tt0407900,Je tricote,short,Je tricote,1995.0,9.0,"Comedy,Short",,
77259,tt0407924,Nadesico Martian Successor - Prince of Darkness,movie,Kidô senkan Nadeshiko: Prince of Darkness,1998.0,87.0,"Action,Animation,Drama",,
77279,tt0408203,Le souffleur,movie,Le souffleur,2005.0,79.0,"Comedy,Romance",,
77290,tt0408302,"Maman, mon éléphant et moi",movie,Knetter,2005.0,83.0,"Comedy,Drama",,
77307,tt0408496,Ap 2000,short,Ap 2000,2002.0,9.0,"Animation,Short",,
77310,tt0408617,Le cauchemar de Bintou,short,Le cauchemar de Bintou,2001.0,8.0,"Comedy,Short",,
77311,tt0408621,Les chasseurs de poissons,short,Les chasseurs de poissons,2001.0,5.0,"Animation,Short",,
77312,tt0408636,Les contes de l'horloge magique,movie,Les contes de l'horloge magique,2003.0,65.0,Animation,,
77314,tt0408682,La dernière minute,short,La dernière minute,2004.0,11.0,"Animation,Short",,
77327,tt0408927,J'me sens pas belle,movie,J'me sens pas belle,2004.0,85.0,"Comedy,Romance",,
77331,tt0409011,L'amour à la dérive,movie,Love Wrecked,2005.0,87.0,"Adventure,Comedy,Romance",,
77332,tt0409011,Une fan pas comme les autres,movie,Love Wrecked,2005.0,87.0,"Adventure,Comedy,Romance",,
77333,tt0409043,Vendeurs d'élite,movie,Grilled,2006.0,83.0,"Comedy,Crime",,
77338,tt0409173,La politesse des rois,short,La politesse des rois,2001.0,5.0,"Animation,Short",,
77339,tt0409182,Poséidon,movie,Poseidon,2006.0,98.0,"Action,Adventure,Thriller",,
77363,tt0409695,L'Homme d'a cote,short,O andras tis diplanis portas...,2001.0,18.0,"Comedy,Short",,
77365,tt0409710,Au creux du cou,short,Au creux du cou,2003.0,1.0,"Animation,Short",,
77368,tt0409845,Coup de foudre,short,Coup de foudre,2002.0,4.0,"Comedy,Short",,
77371,tt0409860,Cutie Honey,movie,Kyûtî Hanî,2004.0,94.0,"Adventure,Comedy,Sci-Fi",,
77378,tt0409909,Doo Wop,movie,Doo Wop,2004.0,90.0,"Action,Drama,Romance",,
77379,tt0409929,En famille,short,En famille,2003.0,13.0,"Comedy,Sci-Fi,Short",,
77380,tt0409937,Espace détente,movie,Espace détente,2005.0,102.0,Comedy,,
77384,tt0409979,Le Français,tvMovie,Frantsuz,2004.0,90.0,"Comedy,Romance",,
77412,tt0410400,Une belle journée,movie,On a Clear Day,2005.0,95.0,"Comedy,Drama,Romance",,
77429,tt0410549,Quand la mer monte...,movie,Quand la mer monte...,2004.0,89.0,"Comedy,Drama,Romance",,
77430,tt0410549,Sale affaire,movie,Quand la mer monte...,2004.0,89.0,"Comedy,Drama,Romance",,
77438,tt0410639,Les soeurs fâchées,movie,Les soeurs fâchées,2004.0,93.0,"Comedy,Drama",,
77440,tt0410696,La naissance d'une nouvelle star,tvMovie,Stuck in the Suburbs,2004.0,76.0,"Comedy,Family,Music",,
77442,tt0410730,Taxidermie,movie,Taxidermia,2006.0,94.0,"Comedy,Horror",,
77446,tt0410829,A Uniform Used to Mean Something...,short,A Uniform Used to Mean Something...,2004.0,5.0,"Comedy,Short",,
77451,tt0410953,Prom Queen,tvMovie,Prom Queen: The Marc Hall Story,2004.0,92.0,"Comedy,Drama",,
77476,tt0411128,El asesino de la televisión,short,El asesino de la televisión,2004.0,4.0,"Animation,Musical,Short",,
77481,tt0411165,Rêve de gloire,movie,Bin ich sexy?,2004.0,89.0,"Comedy,Drama",,
77501,tt0411427,One Day in Europe,movie,One Day in Europe,2005.0,95.0,Comedy,,
77503,tt0411475,Hell Ride,movie,Hell Ride,2008.0,84.0,"Action,Drama,Thriller",,
77505,tt0411517,Je te prête mon mari,tvMovie,Ich leih' dir meinen Mann,2003.0,90.0,"Comedy,Drama,Romance",,
77520,tt0411806,Le retour des morts-vivants: rave mortel,movie,Return of the Living Dead: Rave to the Grave,2005.0,86.0,"Comedy,Horror,Sci-Fi",,
77522,tt0411883,Un été très S*L*P*,movie,Slutty Summer,2004.0,85.0,"Comedy,Drama,Romance",,
77524,tt0411951,Tekken,movie,Tekken,2010.0,92.0,"Action,Crime,Drama",,
77530,tt0412028,Rencontre magique,tvMovie,Eine verflixte Begegnung im Mondschein,2004.0,90.0,Comedy,,
77547,tt0412298,Tout pour plaire,movie,Tout pour plaire,2005.0,105.0,Comedy,,
77548,tt0412298,35/40,movie,Tout pour plaire,2005.0,105.0,Comedy,,
77552,tt0412311,Aligato,short,Aligato,2003.0,11.0,"Comedy,Short",,
77555,tt0412412,Animal,movie,Animal,2005.0,103.0,"Sci-Fi,Thriller",,
77562,tt0412511,Big Kiss,movie,Big Kiss,2004.0,90.0,"Action,Comedy,Romance",,
77566,tt0412526,"Le bon, la brute et les zombies",short,"Le bon, la brute et les zombies",2004.0,10.0,"Comedy,Horror,Short",,
77568,tt0412535,Brice de Nice,movie,Brice de Nice,2005.0,98.0,Comedy,,
77573,tt0412571,Chacun chez soi,tvMovie,Chacun chez soi,2000.0,87.0,Comedy,,
77583,tt0412665,Dracula,tvMovie,Yami no teiô kyuketsuki dorakyura,1980.0,94.0,"Action,Animation,Fantasy",,
77590,tt0412739,Les fourberies de Scapin,tvMovie,Les fourberies de Scapin,1998.0,83.0,Comedy,,
77600,tt0412915,Les Aventures de Flynn Carson : Le Mystère de la lance sacrée,tvMovie,The Librarian: Quest for the Spear,2004.0,92.0,"Action,Adventure,Comedy",,
77601,tt0412922,Little Manhattan,movie,Little Manhattan,2005.0,90.0,"Comedy,Family,Romance",7.4,25306.0
77608,tt0412969,Le mariage forcé,tvMovie,Le mariage forcé,1999.0,75.0,Comedy,,
77610,tt0413004,Mister Choing,short,Mister Choing,2004.0,9.0,"Animation,Short",,
77611,tt0413015,Madame Henderson présente,movie,Mrs. Henderson Presents,2005.0,103.0,"Comedy,Drama,Music",,
77613,tt0413021,Mutafukaz,short,Mutafukaz,2002.0,8.0,"Action,Animation,Sci-Fi",,
77622,tt0413099,Evan tout-puissant,movie,Evan Almighty,2007.0,96.0,"Comedy,Family,Fantasy",,
77628,tt0413179,Quartier V.I.P.,movie,Quartier V.I.P.,2005.0,99.0,Comedy,,
77635,tt0413267,Shrek le 3ème,movie,Shrek the Third,2007.0,93.0,"Adventure,Animation,Comedy",,
77636,tt0413267,Shrek le troisième,movie,Shrek the Third,2007.0,93.0,"Adventure,Animation,Comedy",,
77643,tt0413330,La surprise,tvMovie,La surprise,2000.0,97.0,Comedy,,
77652,tt0413509,Les yeux clairs,movie,Les yeux clairs,2005.0,87.0,"Comedy,Drama",,
